"TestName"	"Source"	"TestAbbreviation"	"QuestionNumber"	"Question"	"Format"	"PossibleValues"	"Units"	"StataVariableName"	"Calculated"	"Seattle"	"Portland"	"Cincinnati"	"EmoryFU"	"EmoryBL"	"PennBL"	"UCLABL"	"JHU"	"Notes"
"Udall Basic Information"	"PANUC - udall_basicinfo"	"UBIS"		"Assistive device"		"0=never,1=sometimes,2=always,-905=not applic"		"ubis_assist_cl"		"?"	"yes"							"suffix=(cl=clinic visit;gt=gait visit)"
"Udall Basic Information"	"PANUC - udall_basicinfo"	"UBIS"		"Assistive device kind"				"ubis_assistkind_cl"		"?"	"yes"							"suffix=(cl=clinic visit;gt=gait visit)"
"Udall Basic Information"	"PANUC - udall_basicinfo"	"UBIS"		"Assistive device: how often"				"ubis_assistoften_cl"		"?"	"yes"							"suffix=(cl=clinic visit;gt=gait visit)"
"Udall Basic Information"	"PANUC - udall_basicinfo"	"UBIS"		"Neuropathy"		"0=no,1=yes,-905=not applic"		"ubis_neuro_cl"		"?"	"yes"							"suffix=(cl=clinic visit;gt=gait visit)"
"Udall Basic Information"	"PANUC - udall_basicinfo"	"UBIS"		"Neuropathy detail"				"ubis_neurodet_cl"		"?"	"yes"							"suffix=(cl=clinic visit;gt=gait visit)"
"Udall Basic Information"	"PANUC - udall_basicinfo"	"UBIS"		"Pain"		"0=no,1=yes,-905=not applic"		"ubis_pain_cl"		"?"	"yes"							"suffix=(cl=clinic visit;gt=gait visit)"
"Udall Basic Information"	"PANUC - udall_basicinfo"	"UBIS"		"Surgery"		"0=no,1=yes,-905=not applic"		"ubis_surg_cl"		"?"	"yes"							"suffix=(cl=clinic visit;gt=gait visit)"
"Udall Basic Information"	"PANUC - udall_basicinfo"	"UBIS"		"Surgery detail"				"ubis_surgdet_cl"		"?"	"yes"							"suffix=(cl=clinic visit;gt=gait visit)"
"Udall Basic Information"	"PANUC - udall_basicinfo"	"UBIS"		"Height (inches)"			"inches"	"ubis_height_cl"	"Y"	"?"	"yes"							"suffix=(cl=clinic visit;gt=gait visit)"
"UPDRS Part I"	"PANUC - updrs_mds_gait"	"updrs_mds"	"NA"	"Age at MDS UPDRS Part 1 Administration"	"Numeric"	">=0"	"Years"	"age_updrs_new1"	"Y"	"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"UPDRS Part I"	"PANUC - updrs_mds_gait"	"updrs_mds"	"NA"	"Collection Date - MDS UPDRS Part 1"	"Numeric"	"<= Current Date"	"Date"	"collection_date_updrs_new1"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"UPDRS Part I"	"PANUC - updrs_mds_gait"	"updrs_mds"	"NA"	"Total MDS UPDRS I score"	"Numeric"	"0-52"		"updrs_new_1_total_m0"	"Y"	"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"UPDRS Part II"	"PANUC - updrs_mds_gait"	"updrs_mds"	"NA"	"Total MDS UPDRS II score"	"Numeric"	"0-52"		"updrs_new_2_total_m0"	"Y"	"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"UPDRS Part III"	"PANUC - updrs_mds_gait"	"updrs_mds"	"NA"	"Total MDS UPDRS III score"	"Numeric"	"0-132"		"updrs_new_3_total_m0"	"Y"	"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"UPDRS Part IV"	"PANUC - updrs_mds_gait"	"updrs_mds"	"NA"	"Total MDS UPDRS IV score"	"Numeric"	"0-24"		"updrs_new_4_total_m0"	"Y"	"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"UPDRS Part I"	"PANUC - updrs_mds_gait"	"updrs_mds"	"NA"	"Primary source of information:"	"Categorical"	"Patient; Caregiver; Patient and Caregiver in Equal Proportion"		"mdspdrs_1a_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"UPDRS Part I"	"PANUC - updrs_mds_gait"	"updrs_mds"	"1.1"	"Cognitive impairment"	"Nominal Code"	"0: Normal: No cognitive impairment.
1: Slight: Impairment appreciated by patient or caregiver with no concrete interference with the
patient’s ability to carry out normal activities and social interactions.
2: Mild: Clinically evident cognitive"		"mdspdrs_1_1_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"UPDRS Part I"	"PANUC - updrs_mds_gait"	"updrs_mds"	"1.2"	"Hallucinations and psychosis"	"Nominal Code"	"0: Normal: No hallucinations or psychotic behaviour.
1: Slight: Illusions or non-formed hallucinations, but patient recognizes them without
loss of insight.
2: Mild: Formed hallucinations independent of environmental stimuli. No loss of
insight"		"mdspdrs_1_2_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"UPDRS Part I"	"PANUC - updrs_mds_gait"	"updrs_mds"	"1.3"	"Depressed mood"	"Nominal Code"	"0: Normal: No depressed mood.
1: Slight: Episodes of depressed mood that are not sustained for more than one day
at a time. No interference with patient’s ability to carry out normal activities
and social interactions.
2: Mild: Depressed mood t"		"mdspdrs_1_3_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"UPDRS Part I"	"PANUC - updrs_mds_gait"	"updrs_mds"	"1.4"	"Anxious mood"	"Nominal Code"	"0: Normal: No anxious feelings.
1: Slight: Anxious feelings present but not sustained for more than one day at a time. No
interference with patient’s ability to carry out normal activities and social interactions.
2: Mild: Anxious feelings are "		"mdspdrs_1_4_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"UPDRS Part I"	"PANUC - updrs_mds_gait"	"updrs_mds"	"1.5"	"Apathy"	"Nominal Code"	"0: Normal: No apathy.
1: Slight: Apathy appreciated by patient and/or caregiver, but no interference with daily
activities and social interactions.
2: Mild: Apathy interferes with isolated activities and social interactions.
3: Moderate: Apathy"		"mdspdrs_1_5_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"UPDRS Part I"	"PANUC - updrs_mds_gait"	"updrs_mds"	"1.6"	"Features of dopamine dysregulation syndrome"	"Nominal Code"	"0: Normal: No problems present.
1: Slight: Problems are present but usually do not cause any difficulties for the patient or
family/caregiver.
2: Mild: Problems are present and usually cause a few difficulties in the patient’s personal
and fami"		"mdspdrs_1_6_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"UPDRS Part I"	"PANUC - updrs_mds_gait"	"updrs_mds"	"1.7"	"Sleep problems"	"Nominal Code"	"0: Normal: No problems.
1: Slight: Sleep problems are present but usually do not cause trouble
getting a full night of sleep.
2: Mild: Sleep problems usually cause some difficulties getting a full night
of sleep.
3: Moderate: Sleep problems cau"		"mdspdrs_1_7_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"UPDRS Part I"	"PANUC - updrs_mds_gait"	"updrs_mds"	"1.8"	"Daytime sleepiness"	"Nominal Code"	"0: Normal: No daytime sleepiness.
1: Slight: Daytime sleepiness occurs but I can resist and I stay awake.
2: Mild: Sometimes I fall asleep when alone and relaxing. For example,
while reading or watching TV.
3: Moderate: I sometimes fall asleep "		"mdspdrs_1_8_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"UPDRS Part I"	"PANUC - updrs_mds_gait"	"updrs_mds"	"1.9"	"Pain and other sensations"	"Nominal Code"	"0: Normal: No uncomfortable feelings.
1: Slight: I have these feelings. However, I can do things and be with other
people without difficulty.
2: Mild: These feelings cause some problems when I do things or am with
other people.
3: Moderate: The"		"mdspdrs_1_9_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"UPDRS Part I"	"PANUC - updrs_mds_gait"	"updrs_mds"	"1.10"	"Urinary problems"	"Nominal Code"	"0: Normal: No urine control problems.
1: Slight: I need to urinate often or urgently. However, these problems do
not cause difficulties with my daily activities.
2: Mild: Urine problems cause some difficulties with my daily activities.
However,"		"mdspdrs_1_10_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"UPDRS Part I"	"PANUC - updrs_mds_gait"	"updrs_mds"	"1.11"	"Constipation problems"	"Nominal Code"	"0: Normal: No constipation.
1: Slight: I have been constipated. I use extra effort to move my bowels.
However, this problem does not disturb my activities or my being
comfortable.
2: Mild: Constipation causes me to have some troubles doing thin"		"mdspdrs_1_11_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"UPDRS Part I"	"PANUC - updrs_mds_gait"	"updrs_mds"	"1.12"	"Light headedness on standing"	"Nominal Code"	"0: Normal: No dizzy or foggy feelings.
1: Slight: Dizzy or foggy feelings occur. However, they do not cause me
troubles doing things.
2: Mild: Dizzy or foggy feelings cause me to hold on to something, but I do
not need to sit or lie back down.
"		"mdspdrs_1_12_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"UPDRS Part I"	"PANUC - updrs_mds_gait"	"updrs_mds"	"1.13"	"Fatigue"	"Nominal Code"	"0: Normal: No fatigue.
1: Slight: Fatigue occurs. However it does not cause me troubles doing
things or being with people.
2: Mild: Fatigue causes me some troubles doing things or being with
people.
3: Moderate: Fatigue causes me a lot of troub"		"mdspdrs_1_13_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"UPDRS Part III"	"PANUC - updrs_mds_gait"	"updrs_mds"	"3a"	"Is the patient on medication for treating the symptoms of Parkinson’s Disease?"	"Nominal Code"	"No; Yes; not administered; unable to complete; unwilling to complete; not transcribed"		"mdspdrs_3a_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"UPDRS Part III"	"PANUC - updrs_mds_gait"	"updrs_mds"	"3b"	"If the patient is receiving medication for treating the symptoms of Parkinson’s Disease,
mark the patient’s clinical state using the following definitions"	"Categorical"	"On; Off; not administered; unable to complete; unwilling to complete; not transcribed; not applicable"		"mdspdrs_3b_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"UPDRS Part III"	"PANUC - updrs_mds_gait"	"updrs_mds"	"3c"	"Is the patient on Levodopa"	"Categorical"	"No;""Yes"";""not administered"";""unable to complete"";""unwilling to complete"";""not transcribed"";""not applicable""	""	""mdspdrs_3c_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"		
"UPDRS Part III"	"PANUC - updrs_mds_gait"	"updrs_mds"	"3.c1"	"If yes, minutes since last levodopa dose"	"Numeric"	"0-n"		"mdspdrs_3c1_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"UPDRS Part III"	"PANUC - updrs_mds_gait"	"updrs_mds"	"3.1"	"Speech"	"Nominal Code"	"0: Normal: No speech problems.
1: Slight: Loss of modulation, diction or volume, but still all words easy to understand.
2: Mild: Loss of modulation, diction, or volume, with a few words unclear, but the overall
sentences easy to follow.
3: Mod"		"mdspdrs_3_1_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"UPDRS Part III"	"PANUC - updrs_mds_gait"	"updrs_mds"	"3.2"	"Facial Expression"	"Nominal Code"	"0: Normal: Normal facial expression.
1: Slight: Minimal masked facies manifested only by decreased frequency of blinking.
2: Mild: In addition to decreased eye-blink frequency, Masked facies present in the lower
face as well, namely fewer movem"		"mdspdrs_3_2_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"UPDRS Part III"	"PANUC - updrs_mds_gait"	"updrs_mds"	"3.3 (Neck)"	"Rigidity Neck"	"Nominal Code"	"0: Normal: No rigidity.
1: Slight: Rigidity only detected with activation maneuver.
2: Mild: Rigidity detected without the activation maneuver, but full range of motion is easily
achieved.
3: Moderate: Rigidity detected without the activation m"		"mdspdrs_3_3_neck_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"UPDRS Part III"	"PANUC - updrs_mds_gait"	"updrs_mds"	"3.3 (RUE)"	"Rigidity RUE"	"Nominal Code"	"0: Normal: No rigidity.
1: Slight: Rigidity only detected with activation maneuver.
2: Mild: Rigidity detected without the activation maneuver, but full range of motion is easily
achieved.
3: Moderate: Rigidity detected without the activation m"		"mdspdrs_3_3_rue_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"UPDRS Part III"	"PANUC - updrs_mds_gait"	"updrs_mds"	"3.3 (LUE)"	"Rigidity LUE"	"Nominal Code"	"0: Normal: No rigidity.
1: Slight: Rigidity only detected with activation maneuver.
2: Mild: Rigidity detected without the activation maneuver, but full range of motion is easily
achieved.
3: Moderate: Rigidity detected without the activation m"		"mdspdrs_3_3_lue_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"UPDRS Part III"	"PANUC - updrs_mds_gait"	"updrs_mds"	"3.3 (RLE)"	"Rigidity RLE"	"Nominal Code"	"0: Normal: No rigidity.
1: Slight: Rigidity only detected with activation maneuver.
2: Mild: Rigidity detected without the activation maneuver, but full range of motion is easily
achieved.
3: Moderate: Rigidity detected without the activation m"		"mdspdrs_3_3d_rle_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"UPDRS Part III"	"PANUC - updrs_mds_gait"	"updrs_mds"	"3.3 (LLE)"	"Rigidity LLE"	"Nominal Code"	"0: Normal: No rigidity.
1: Slight: Rigidity only detected with activation maneuver.
2: Mild: Rigidity detected without the activation maneuver, but full range of motion is easily
achieved.
3: Moderate: Rigidity detected without the activation m"		"mdspdrs_3_3e_lle_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"UPDRS Part III"	"PANUC - updrs_mds_gait"	"updrs_mds"	"3.4 (R)"	"Finger tapping right"	"Nominal Code"	"0: Normal: No problems.
1: Slight: Any of the following: a) the regular rhythm is broken with one or two interruptions or
hesitations of the tapping movement; b) slight slowing; c) the amplitude decrements
near the end of the 10 taps.
2: Mild: "		"mdspdrs_3_4r_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"UPDRS Part III"	"PANUC - updrs_mds_gait"	"updrs_mds"	"3.4 (L)"	"Finger tapping left"	"Nominal Code"	"0: Normal: No problems.
1: Slight: Any of the following: a) the regular rhythm is broken with one or two interruptions or
hesitations of the tapping movement; b) slight slowing; c) the amplitude decrements
near the end of the 10 taps.
2: Mild: "		"mdspdrs_3_4l_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"UPDRS Part III"	"PANUC - updrs_mds_gait"	"updrs_mds"	"3.5 (R)"	"Hand Movements Right"	"Nominal Code"	"0: Normal: No problem.
1: Slight: Any of the following: a) the regular rhythm is broken with one or two interruptions or
hesitations of the movement; b) slight slowing; c) the amplitude decrements near
the end of the task.
2: Mild: Any of the f"		"mdspdrs_3_5r_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"UPDRS Part III"	"PANUC - updrs_mds_gait"	"updrs_mds"	"3.5 (L)"	"Hand Movements Left"	"Nominal Code"	"0: Normal: No problem.
1: Slight: Any of the following: a) the regular rhythm is broken with one or two interruptions or
hesitations of the movement; b) slight slowing; c) the amplitude decrements near
the end of the task.
2: Mild: Any of the f"		"mdspdrs_3_5l_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"UPDRS Part III"	"PANUC - updrs_mds_gait"	"updrs_mds"	"3.6 (R)"	"Pronation-Supination movements of hands right"	"Nominal Code"	"0: Normal: No problems.
1: Slight: Any of the following: a) the regular rhythm is broken with one or two interruptions or
hesitations of the movement; b) slight slowing; c) the amplitude decrements near
the end of the sequence.
2: Mild: Any of "		"mdspdrs_3_6r_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"UPDRS Part III"	"PANUC - updrs_mds_gait"	"updrs_mds"	"3.6 (L)"	"Pronation-Supination movements of hands left"	"Nominal Code"	"0: Normal: No problems.
1: Slight: Any of the following: a) the regular rhythm is broken with one or two interruptions or
hesitations of the movement; b) slight slowing; c) the amplitude decrements near
the end of the sequence.
2: Mild: Any of "		"mdspdrs_3_6l_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"UPDRS Part III"	"PANUC - updrs_mds_gait"	"updrs_mds"	"3.7 (R)"	"Toe tapping right"	"Nominal Code"	"0: Normal: No problem.
1: Slight: Any of the following: a) the regular rhythm is broken with one or two interruptions
or hesitations of the tapping movement; b) slight slowing; c) amplitude
decrements near the end of the ten taps.
2: Mild: Any "		"mdspdrs_3_7r_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"UPDRS Part III"	"PANUC - updrs_mds_gait"	"updrs_mds"	"3.7 (L)"	"Toe tapping left"	"Nominal Code"	"0: Normal: No problem.
1: Slight: Any of the following: a) the regular rhythm is broken with one or two interruptions
or hesitations of the tapping movement; b) slight slowing; c) amplitude
decrements near the end of the ten taps.
2: Mild: Any "		"mdspdrs_3_7l_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"UPDRS Part III"	"PANUC - updrs_mds_gait"	"updrs_mds"	"3.8 (R)"	"Leg Agility Right"	"Nominal Code"	"0: Normal: No problems.
1: Slight: Any of the following: a) the regular rhythm is broken with one or two interruptions
or hesitations of the movement; b) slight slowing; c) amplitude decrements near
the end of the task.
2: Mild: Any of the foll"		"mdspdrs_3_8r_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"UPDRS Part III"	"PANUC - updrs_mds_gait"	"updrs_mds"	"3.8 (L)"	"Leg Agility Left"	"Nominal Code"	"0: Normal: No problems.
1: Slight: Any of the following: a) the regular rhythm is broken with one or two interruptions
or hesitations of the movement; b) slight slowing; c) amplitude decrements near
the end of the task.
2: Mild: Any of the foll"		"mdspdrs_3_8l_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"UPDRS Part III"	"PANUC - updrs_mds_gait"	"updrs_mds"	"3.9"	"Arising from Chair"	"Nominal Code"	"0: Normal: No problems. Able to arise quickly without hesitation.
1: Slight: Arising is slower than normal; or may need more than one attempt; or may
need to move forward in the chair to arise. No need to use the arms of the
chair.
2: Mild: Pus"		"mdspdrs_3_9_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"UPDRS Part III"	"PANUC - updrs_mds_gait"	"updrs_mds"	"3.10"	"Gait"	"Nominal Code"	"0: Normal: No problems.
1: Slight: Independent walking with minor gait impairment.
2: Mild: Independent walking but with substantial gait impairment.
3: Moderate: Requires an assistance device for safe walking (walking stick, walker) but not a
"		"mdspdrs_3_10_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"UPDRS Part III"	"PANUC - updrs_mds_gait"	"updrs_mds"	"3.11"	"Freezing of gait"	"Nominal Code"	"0: Normal: No freezing.
1: Slight: Freezes on starting, turning or walking through doorway with a single halt during
any of these events, but then continues smoothly without freezing during straight
walking.
2: Mild: Freezes on starting, turnin"		"mdspdrs_3_11_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"UPDRS Part III"	"PANUC - updrs_mds_gait"	"updrs_mds"	"3.12"	"Postural stability"	"Nominal Code"	"0: Normal: No problems: Recovers with one or two steps.
1: Slight: 3-5 steps, but subject recovers unaided.
2: Mild: More than 5 steps, but subject recovers unaided.
3: Moderate: Stands safely, but with absence of postural response; falls if no"		"mdspdrs_3_12_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"UPDRS Part III"	"PANUC - updrs_mds_gait"	"updrs_mds"	"3.13"	"Posture"	"Nominal Code"	"0: Normal: No problems.
1: Slight: Not quite erect, but posture could be normal for older person.
2: Mild: Definite flexion, scoliosis or leaning to one side, but patient can correct posture to
normal posture when asked to do so.
3: Moderate: S"		"mdspdrs_3_13_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"UPDRS Part III"	"PANUC - updrs_mds_gait"	"updrs_mds"	"3.14"	"Global spontaneity of movement (body bradykinesia)"	"Nominal Code"	"0: Normal: No problems.
1: Slight: Slight global slowness and poverty of spontaneous movements.
2: Mild: Mild global slowness and poverty of spontaneous movements.
3: Moderate: Moderate global slowness and poverty of spontaneous movements.
4: S"		"mdspdrs_3_14_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"UPDRS Part III"	"PANUC - updrs_mds_gait"	"updrs_mds"	"3.15 (R)"	"Postural tremor of the hands right"	"Nominal Code"	"0: Normal: No tremor.
1: Slight: Tremor is present but less than 1 cm in amplitude.
2: Mild: Tremor is at least 1 but less than 3 cm in amplitude.
3: Moderate: Tremor is at least 3 but less than 10 cm in amplitude.
4: Severe: Tremor is at least"		"mdspdrs_3_15r_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"UPDRS Part III"	"PANUC - updrs_mds_gait"	"updrs_mds"	"3.15 (L)"	"Postural tremor of the hands left"	"Nominal Code"	"0: Normal: No tremor.
1: Slight: Tremor is present but less than 1 cm in amplitude.
2: Mild: Tremor is at least 1 but less than 3 cm in amplitude.
3: Moderate: Tremor is at least 3 but less than 10 cm in amplitude.
4: Severe: Tremor is at least"		"mdspdrs_3_15l_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"UPDRS Part III"	"PANUC - updrs_mds_gait"	"updrs_mds"	"3.16 (R)"	"Kinteic tremor of the hands right"	"Nominal Code"	"0: Normal: No tremor.
1: Slight: Tremor is present but less than 1 cm in amplitude.
2: Mild: Tremor is at least 1 but less than 3 cm in amplitude.
3: Moderate: Tremor is at least 3 but less than 10 cm in amplitude.
4: Severe: Tremor is at least"		"mdspdrs_3_16r_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"UPDRS Part III"	"PANUC - updrs_mds_gait"	"updrs_mds"	"3.16 (L)"	"Kinteic tremor of the hands left"	"Nominal Code"	"0: Normal: No tremor.
1: Slight: Tremor is present but less than 1 cm in amplitude.
2: Mild: Tremor is at least 1 but less than 3 cm in amplitude.
3: Moderate: Tremor is at least 3 but less than 10 cm in amplitude.
4: Severe: Tremor is at least"		"mdspdrs_3_16l_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"UPDRS Part III"	"PANUC - updrs_mds_gait"	"updrs_mds"	"3.17 (RUE)"	"Rest tremor amplitude RUE"	"Nominal Code"	"0: Normal: No tremor.
1: Slight.: < 1 cm in maximal amplitude.
2: Mild: > 1 cm but < 3 cm in maximal amplitude.
3: Moderate: 3 - 10 cm in maximal amplitude.
4: Severe: > 10 cm in maximal amplitude."		"mdspdrs_3_17r_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"UPDRS Part III"	"PANUC - updrs_mds_gait"	"updrs_mds"	"3.17 (LUE)"	"Rest tremor amplitude LUE"	"Nominal Code"	"0: Normal: No tremor.
1: Slight.: < 1 cm in maximal amplitude.
2: Mild: > 1 cm but < 3 cm in maximal amplitude.
3: Moderate: 3 - 10 cm in maximal amplitude.
4: Severe: > 10 cm in maximal amplitude."		"mdspdrs_3_17l_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"UPDRS Part III"	"PANUC - updrs_mds_gait"	"updrs_mds"	"3.17 (RLE)"	"Rest tremor amplitude RLE"	"Nominal Code"	"0: Normal: No tremor.
1: Slight.: < 1 cm in maximal amplitude.
2: Mild: > 1 cm but < 3 cm in maximal amplitude.
3: Moderate: 3 - 10 cm in maximal amplitude.
4: Severe: > 10 cm in maximal amplitude."		"mdspdrs_3_17rle_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"UPDRS Part III"	"PANUC - updrs_mds_gait"	"updrs_mds"	"3.17 (LLE)"	"Rest tremor amplitude LLE"	"Nominal Code"	"0: Normal: No tremor.
1: Slight.: < 1 cm in maximal amplitude.
2: Mild: > 1 cm but < 3 cm in maximal amplitude.
3: Moderate: 3 - 10 cm in maximal amplitude.
4: Severe: > 10 cm in maximal amplitude."		"mdspdrs_3_17lle_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"UPDRS Part III"	"PANUC - updrs_mds_gait"	"updrs_mds"	"3.17 (Lip/Jaw)"	"Rest tremor amplitude Lip/Jaw"	"Nominal Code"	"0: Normal: No tremor.
1: Slight: < 1 cm in maximal amplitude.
2: Mild: > 1 cm but < 2 cm in maximal amplitude.
3: Moderate: > 2 cm but < 3 cm in maximal amplitude.
4: Severe: > 3 cm in maximal amplitude."		"mdspdrs_3_17_lip_jaw_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"UPDRS Part III"	"PANUC - updrs_mds_gait"	"updrs_mds"	"3.18"	"Constancy of rest tremor"	"Nominal Code"	"0: Normal: No tremor.
1: Slight: Tremor at rest is present < 25% of the entire examination period.
2: Mild: Tremor at rest is present 26-50% of the entire examination period.
3: Moderate: Tremor at rest is present 51-75% of the entire examinati"		"mdspdrs_3_18_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"UPDRS Part III"	"PANUC - updrs_mds_gait"	"updrs_mds"	"A"	"Were dyskinesias (chorea or dystonia) present during examination?"	"Categorical"	"No;""Yes"";""not administered"";""unable to complete"";""unwilling to complete"";""not transcribed"";""not applicable""	""	""mdspdrs_3a_dysk_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"		
"UPDRS Part III"	"PANUC - updrs_mds_gait"	"updrs_mds"	"B"	"If yes, did these movements interfere with your ratings?"	"Categorical"	"No;""Yes"";""not administered"";""unable to complete"";""unwilling to complete"";""not transcribed"";""not applicable""	""	""mdspdrs_3b_dysk_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"		
"UPDRS Part IV"	"PANUC - updrs_mds_gait"	"updrs_mds"	"4.1"	"Time spent with dyskinesias"	"Nominal Code"	"0: Normal: No dyskinesias.
1: Slight: = 25% of waking day.
2: Mild: 26 - 50% of waking day.
3: Moderate: 51 - 75% of waking day.
4: Severe: > 75% of waking day."		"mdsprdrs_4_1_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"UPDRS Part IV"	"PANUC - updrs_mds_gait"	"updrs_mds"	"4.2"	"Functional impact of dyskinesias"	"Nominal Code"	"0: Normal: No dyskinesias or no impact by dyskinesias on activities or social interactions.
1: Slight: Dyskinesias impact on a few activities, but the patient usually performs all
activities and participates in all social interactions during dy"		"mdsprdrs_4_2_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
